Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
15025062,CEIP de Portosín,"Praia, s/n (Portosin)",Porto do Son,A Coruña,15999,881866313,CEIP,42.7582626342773,-8.94999599456787,Pública,Non,Si
15025074,CEIP O Marbán,Rúa A Igrexa 45,As Somozas,A Coruña,15565,881938101,CEIP,43.5343322753906,-7.9415807723999,Pública,Non,Si
15025116,CPR Santa Apolonia-Crea Natura,Rúa Poza Real 5,Santiago de Compostela,A Coruña,15899,981520273,CPR,42.8600692749023,-8.56725311279297,Privada,Non,Non
15025220,CEP Plurilingüe de Ventín,Ventin,Ames,A Coruña,15895,881867490,CEP,42.8508682250976,-8.58884143829346,Pública,Non,Si
15025256,CEIP Alfredo Brañas,Rúa Porta Santa 19,A Laracha,A Coruña,15145,881880700,CEIP,43.2502021789551,-8.55623531341553,Pública,Non,Si
15025268,IES As Telleiras,Estrada Cedeira km.1,Narón,A Coruña,15570,881930350,IES,43.5146408081055,-8.18900966644287,Pública,Non,Si
15025281,CEIP de Olveira,Rúa A Igrexa 75,Ribeira,A Coruña,15969,881866347,CEIP,42.5871353149414,-9.04859352111816,Pública,Non,Si
15025301,IES Arcebispo Xelmírez II,Rúa Irmandiños 15,Santiago de Compostela,A Coruña,15704,881867055,IES,42.8928985595703,-8.53436088562012,Pública,Non,Si
15025347,CEEPR Aspanaes-Duques de Lugo,Rúa da Raiola 6,Santiago de Compostela,A Coruña,15702,981596589,CEEPR,42.8624420166016,-8.53614330291748,Privada,Si,Non
15025359,CEEPR Aspanaes Ricardo Touceda,San Pedro de Leixa s/n,Ferrol,A Coruña,15405,981320091,CEEPR,43.5103721618652,-8.21427536010742,Privada,Si,Non
15025487,CEIP Campomaior,Travesa de Campomaior s/n,Ordes,A Coruña,15680,881880886,CEIP,43.0796546936035,-8.41257762908936,Pública,Non,Si
15025530,IES da Pobra do Caramiñal,Xobre (Maño),A Pobra do Caramiñal,A Coruña,15940,881867064,IES,42.5958709716797,-8.92855834960938,Pública,Non,Si
15025542,CEIP Plurilingüe Xuño,Xuño,Porto do Son,A Coruña,15995,881866301,CEIP,42.6384620666504,-9.03299808502197,Pública,Non,Si
15025554,CEIP Emilio González López,"Rúa Lamelas, 21 (Lema)",Cambre,A Coruña,15659,881880363,CEIP,43.2749557495117,-8.31940269470215,Pública,Non,Si
15025566,IES Ferrol Vello,"Rúa Alonso Lopez, s/n (Ferrol Vello)",Ferrol,A Coruña,15401,881930291,IES,43.4804878234863,-8.2446174621582,Pública,Non,Si
15025581,CPREX Chester College Internat. School,Travesa de Montouto 2,Teo,A Coruña,15894,981819160,CPREX,42.8388137817383,-8.54436779022217,Privada,Non,Non
15025611,IES Monte das Moas,Rúa José María Hernansaez 23,A Coruña,A Coruña,15009,981284377,IES,43.3504180908203,-8.39419841766357,Pública,Non,Si
15025621,EPAPU Eduardo Pondal,Rúa da Educación 3 2º andar,A Coruña,A Coruña,15011,881960901,EPAPU,43.3705520629883,-8.42392253875732,Pública,Non,Si
15025633,CEIP Plurilingüe Os Casais,Lugar da Armada,Fene,A Coruña,15520,881930124,CEIP,43.449779510498,-8.19018936157227,Pública,Non,Si
15025645,IES Ricardo Carvalho Calero,Avenida Castelao s/n,Ferrol,A Coruña,15406,881938138,IES,43.4831085205078,-8.20494174957275,Pública,Non,Si
15025657,IES de Mugardos,Rúa O Cristo s/n,Mugardos,A Coruña,15620,881938200,IES,43.4588928222656,-8.26135444641113,Pública,Non,Si
15025670,CEIP Plurilingüe Isidro Parga Pondal,"Camiño do Saber, s/n (Porto de Santa Cruz)",Oleiros,A Coruña,15179,881880802,CEIP,43.3471984863281,-8.34260368347168,Pública,Non,Si
15025682,CIFP Fraga do Eume,Rúa Ricardo Sanchez 3,Pontedeume,A Coruña,15600,881930455,CIFP,43.406436920166,-8.16810989379883,Pública,Non,Si
15025694,IES Moncho Valcarce,Rúa Jose M. Penabad Lopez s/n,As Pontes de García Rodríguez,A Coruña,15320,881930055,IES,43.4595565795898,-7.85472822189331,Pública,Non,Si
15025712,IES Antonio Fraguas Fraguas,Rúa Londres 10,Santiago de Compostela,A Coruña,15703,981588498,IES,42.8812446594238,-8.53013610839844,Pública,Non,Si
15025724,CEIP Plurilingüe Os Tilos,Rúa Ameneiro 21,Teo,A Coruña,15894,881866735,CEIP,42.8431739807129,-8.53840637207031,Pública,Non,Si
15025751,EPAPU Sta. María de Caranza,Rúa Luis de Requesens s/n,Ferrol,A Coruña,15406,881938317,EPAPU,43.4854927062988,-8.20917415618897,Pública,Non,Si
15025827,CPR Anxela,Rúa Francisco Añon 7,A Coruña,A Coruña,15010,981253025,CPR,43.3628349304199,-8.41806697845459,Privada,Non,Non
15026029,IES Isaac Díaz Pardo,A Laguna 19,Sada,A Coruña,15160,881880942,IES,43.3467864990234,-8.25531387329102,Pública,Non,Si
15026030,IES Terra de Xallas,Rúa Rosalía de Castro s/n,Santa Comba,A Coruña,15840,881867080,IES,43.0350189208984,-8.81655788421631,Pública,Non,Si
15026111,CRA de Narón,Lugar San Xiao s/n,Narón,A Coruña,15578,881930366,CRA,43.5306930541992,-8.164719581604,Pública,Non,Si
15026121,IES Plurilingüe Xosé Neira Vilas,Rúa Xose Neira Vilas 3,Oleiros,A Coruña,15172,881880858,IES,43.3369140625,-8.37273502349854,Pública,Non,Si
15026169,CRA de Teo,Lugar Solláns 77,Teo,A Coruña,15886,881867105,CRA,42.8255081176758,-8.57337665557861,Pública,Non,Si
15026194,CEIP Plurilingüe A Fraga,Avenida da Habana s/n,As Pontes de García Rodríguez,A Coruña,15320,881938156,CEIP,43.450309753418,-7.84497594833374,Pública,Non,Si
15026236,EEI da Angustia,Campo ANGUSTIA,A Pobra do Caramiñal,A Coruña,15948,636485074,EEI,42.619255065918,-8.9244499206543,Pública,Non,Si
15026352,IES Brión,Paseo de Pedrouzos 3,Brión,A Coruña,15865,881866058,IES,42.8624458312988,-8.6776647567749,Pública,Non,Si
15026376,IES Punta Candieira,Rúa do Ensino s/n,Cedeira,A Coruña,15350,881930076,IES,43.6574668884277,-8.04723834991455,Pública,Non,Si
15026388,IES Plurilingüe Fontexería,Rúa Agra de Baño 21,Muros,A Coruña,15259,881867110,IES,42.7888450622559,-9.06274223327637,Pública,Non,Si
15026391,IES Xulián Magariños,Rúa Castelao s/n,Negreira,A Coruña,15830,881867126,IES,42.9129676818848,-8.73277854919434,Pública,Non,Si
15026406,IES Eduardo Pondal,Rúa Teresa Mosquera Manso s/n,Ponteceso,A Coruña,15110,881880924,IES,43.2401237487793,-8.89124393463135,Pública,Non,Si
15026418,IES Terra de Soneira,Gandara 25,Vimianzo,A Coruña,15129,881866519,IES,43.1042709350586,-9.04212856292725,Pública,Non,Si
15026421,IES Plurilingüe Rafael Dieste,Ronda de Outeiro 334,A Coruña,A Coruña,15011,881960930,IES,43.3689002990723,-8.4240779876709,Pública,Non,Si
15026455,IES Terra de Trasancos,Camiño REAL s/n,Narón,A Coruña,15570,881938159,IES,43.5144271850586,-8.18601036071777,Pública,Non,Si
15026492,CMUS Superior da Coruña,Rúa Manuel Murguía s/n,A Coruña,A Coruña,15011,981141295,CMUS,43.3689231872559,-8.42339134216309,Pública,Non,Si
15026509,CRA de Valdoviño,Aldea Taraza 221 1º,Valdoviño,A Coruña,15550,623105879,CRA,43.5984077453613,-8.18491363525391,Pública,Non,Si
15026546,EOI de Ferrol,Rúa Real 29,Ferrol,A Coruña,15402,881938400,EOI,43.4853134155273,-8.22964000701904,Pública,Non,Si
15026637,CEIP de Barouta,Ames (San Tomé),Ames,A Coruña,15229,881867455,CEIP,42.9103088378906,-8.65473175048828,Pública,Non,Si
15026649,CPR Divino Maestro,Lugar VIRXE DO MONTE 6,A Pobra do Caramiñal,A Coruña,15940,981830011,CPR,42.6096038818359,-8.9398136138916,Privada,Si,Non
15026650,CMUS Elemental de Betanzos,Praza de Galicia,Betanzos,A Coruña,15300,981773696,CMUS,43.2823524475098,-8.21190071105957,Pública,Non,Non
15026662,CMUS Profesional de Carballo,Rúa do Pan s/n,Carballo,A Coruña,15100,981704300,CMUS,43.2113838195801,-8.69572162628174,Pública,Non,Non
15026698,IES Espiñeira,Espiñeira,Boiro,A Coruña,15930,881866630,IES,42.6567573547363,-8.88231372833252,Pública,Non,Si
15026704,IES David Buján,Camiño dos Cacharros 1,Cambre,A Coruña,15181,881961200,IES,43.2867088317871,-8.35480499267578,Pública,Non,Si
15026716,IES Plurilingüe Adormideras,Rúa Juan Sebastián Elcano 28,A Coruña,A Coruña,15002,881880086,IES,43.383171081543,-8.39629077911377,Pública,Non,Si
15026728,CMUS Profesional de Culleredo,Avd.de la Coruña s/n,Culleredo,A Coruña,15670,981667798,CMUS,43.3163146972656,-8.36507034301758,Pública,Non,Non
15026731,IES Campo de San Alberto,Rúa Egas Moniz 6,Noia,A Coruña,15200,881867135,IES,42.787223815918,-8.88771438598633,Pública,Non,Si
