,Graphics card,Type,Performance,Architecture,Year,Price now,TDP
891,GRID K1,workstation,1.68,Kepler,2013,317 USD,130 W
892,Radeon R5 M430,notebook,1.67,GCN,2016,749 USD,−
893,FireStream 9170,desktop,1.67,TeraScale,2007,360 USD,105 W
894,FirePro V3900,workstation,1.67,TeraScale 2,2012,110 USD,50 W
895,GeForce 8800 Ultra,desktop,1.66,Tesla,2007,235 USD,171 W
896,GeForce GT 630 OEM,desktop,1.65,Kepler,2012,429 USD,50 W
897,Quadro K510M,mobile workstation,1.65,Kepler,2013,−,30 W
898,Radeon HD 6740G2,notebook,1.65,Terascale 2,2011,−,−
899,GeForce GT 735M,notebook,1.64,Kepler,2013,310 USD,33 W
900,Mobility Radeon HD 4850,notebook,1.63,Terascale 1,2009,187 USD,−
901,Radeon HD 7610M,notebook,1.63,Terascale 2,2012,338 USD,20 W
902,GeForce GT 710,desktop,1.63,Kepler,2014,81 USD,19 W
903,GRID K160Q,workstation,1.62,Kepler,2013,−,130 W
904,Radeon HD 2900 PRO,desktop,1.62,TeraScale,2007,−,200 W
905,NVS 5400M,mobile workstation,1.62,Fermi,2012,381 USD,35 W
906,Radeon HD 7520G + HD 7670M Dual Graphics,notebook,1.62,Terascale 3,2012,90 USD,−
907,Radeon HD 8450G + Radeon HD 8570M Dual Graphics,notebook,1.61,Terascale 3 / GCN,2012,74 USD,−
908,GeForce 810A,desktop,1.61,Kepler 2.0,2014,−,15 W
909,Radeon HD 7640G + HD 7610M Dual Graphics,notebook,1.60,Terascale 3,2012,90 USD,−
910,Radeon HD 7570,desktop,1.59,TeraScale 2,2012,67 USD,60 W
911,GeForce GT 650M Mac Edition,desktop,1.59,Kepler,2012,50 USD,45 W
912,GeForce 720A,desktop,1.58,Fermi 2.0,2014,639 USD,33 W
913,Radeon HD 7640G + HD 7670M Dual Graphics,notebook,1.58,Terascale 3,2012,90 USD,−
914,UHD Graphics 615,notebook,1.58,Gen. 9 Amber Lake,2018,518 USD,5 W
915,GeForce GT 720,desktop,1.57,Kepler 2.0,2014,394 USD,19 W
916,Radeon R7 A360,desktop,1.57,GCN 3.0,2015,2500 USD,−
917,HD Graphics P4600,desktop,1.56,Generation 7.5,2013,225 USD,84 W
918,Radeon R6 M255DX,notebook,1.56,GCN,2014,−,−
919,Radeon HD 6720G2,notebook,1.56,Terascale 2,2011,−,−
920,GeForce GTX 660M Mac Edition,desktop,1.56,Kepler,2013,149 USD,50 W
921,GeForce 910M,notebook,1.55,Kepler,2015,163 USD,15 W
922,GeForce GTS 250,desktop,1.55,Tesla,2009,131 USD,150 W
923,Radeon R8 M365DX,notebook,1.55,GCN,2015,−,−
924,GeForce GT 430,desktop,1.55,Fermi,2010,59 USD,49 W
925,Radeon R5 M330,notebook,1.54,GCN 1.0,2015,−,18 W
926,GeForce 8800 GTX,desktop,1.52,Tesla,2006,357 USD,155 W
927,Quadro FX 3800M,mobile workstation,1.51,G9x,2009,199 USD,100 W
928,GeForce GT 720A,desktop,1.50,Fermi 2.0,2014,639 USD,33 W
929,HD Graphics 5500,notebook,1.50,Gen. 8 Broadwell,2015,410 USD,15 W
930,Radeon R5 A240,desktop,1.49,GCN 1.0,2014,−,50 W
931,GeForce GTX 280M,notebook,1.48,G9x,2009,140 USD,75 W
932,GeForce GT 550M,notebook,1.48,Fermi,2011,55 USD,35 W
