,Name,User rating %,Value %,Avg. Bench %,Memory Pts,8-Core Pts,Mkt. share %,Age months,Price €,fecha,cuartil,año,Q_año
42,AMD Ryzen 5 7600X,82,111,110,84,1152,0.27,18,232,2022-10-22 18:42:51.754560,Q4,2022,Q4 2022
43,Intel Core i7-8700K,80,94.3,88.4,90.1,770,1.48,78,189,2017-11-17 18:42:51.754560,Q4,2017,Q4 2017
44,Intel Core i7-6700K,78,92.1,80.8,88.6,597,0.98,104,149,2015-09-29 18:42:51.754560,Q3,2015,Q3 2015
45,Intel Core i5-8600K,78,86.9,90.7,90.1,656,0.57,78,279,2017-11-17 18:42:51.754560,Q4,2017,Q4 2017
46,AMD Ryzen 5 3400G,78,85.4,68.1,69.6,550,0.1,57,105,2019-08-09 18:42:51.754560,Q3,2019,Q3 2019
47,Intel Core i5-2500K,76,0,65.9,83.1,300,0.12,159,,2011-03-24 18:42:51.754560,Q1,2011,Q1 2011
48,Intel Core i7-2600K,76,0,70.6,87,424,0.19,159,,2011-03-24 18:42:51.754560,Q1,2011,Q1 2011
49,AMD Ryzen 5 2600,76,0,73.3,76.6,621,0.51,71,,2018-06-15 18:42:51.754560,Q2,2018,Q2 2018
50,Intel Core i5-7600K,75,89.8,75.8,85.4,403,0.32,87,129,2017-02-20 18:42:51.754560,Q1,2017,Q1 2017
1,Intel Core i9-11900K,75,0,103,87.4,1114,0.39,36,,2021-04-30 18:42:51.754560,Q2,2021,Q2 2021
2,Intel Core i5-6600K,74,75.1,72.4,83.3,373,0.47,104,209,2015-09-29 18:42:51.754560,Q3,2015,Q3 2015
3,Intel Core i5-3570K,74,0,67.6,83.1,319,0.18,144,,2012-06-16 18:42:51.754560,Q2,2012,Q2 2012
4,Intel Core i9-14900K,74,99.2,131,83.9,1796,1.04,5,651,2023-11-16 18:42:51.754560,Q4,2023,Q4 2023
5,AMD Ryzen 9 3900X,73,82.3,87.9,75,1030,0.23,57,303,2019-08-09 18:42:51.754560,Q3,2019,Q3 2019
6,Intel Core i5-4690K,72,80.8,69.6,83.7,345,0.29,119,139,2014-07-06 18:42:51.754560,Q3,2014,Q3 2014
7,AMD Ryzen 9 5900X,72,0,99,81.1,1157,0.63,41,,2020-12-01 18:42:51.754560,Q4,2020,Q4 2020
8,Intel Core i7-12700F,72,104,109,79.3,1307,0.48,27,277,2022-01-25 18:42:51.754560,Q1,2022,Q1 2022
9,Intel Core i7-8700,71,96.1,87,88.7,748,1.24,78,167,2017-11-17 18:42:51.754560,Q4,2017,Q4 2017
10,AMD Ryzen 5 1600,71,0,70.2,71.7,599,0.13,84,,2017-05-21 18:42:51.754560,Q2,2017,Q2 2017
11,Intel Core i9-13900KF,71,0,129,85.3,1740,0.36,18,,2022-10-22 18:42:51.754560,Q4,2022,Q4 2022
12,AMD Ryzen 3 3300X,70,0,79.7,77.3,662,0.01,47,,2020-06-04 18:42:51.754560,Q2,2020,Q2 2020
