,Name,User rating %,Value %,Avg. Bench %,Memory Pts,8-Core Pts,Mkt. share %,Age months,Price €,fecha,cuartil,año,Q_año
7,Intel Core i5-8265U,55,0,52.7,63.2,313,0.27,67,,2018-10-13 18:42:51.754560,Q4,2018,Q4 2018
8,Intel Core i3-1005G1,55,0,43.8,53.1,206,0.15,54,,2019-11-07 18:42:51.754560,Q4,2019,Q4 2019
9,AMD Ryzen 7 5700U,55,0,67.1,62,649,0.07,37,,2021-03-31 18:42:51.754560,Q1,2021,Q1 2021
10,AMD Ryzen TR 3970X,55,0,86.1,70.5,1081,0.01,52,,2020-01-06 18:42:51.754560,Q1,2020,Q1 2020
11,AMD Ryzen 3 2300U,55,0,55,56,317,0,70,,2018-07-15 18:42:51.754560,Q3,2018,Q3 2018
12,AMD Ryzen 5 5500U,55,0,64.1,58.4,589,0.05,38,,2021-03-01 18:42:51.754560,Q1,2021,Q1 2021
13,Intel Core i5-11300H,55,0,70.8,65.9,590,0.13,36,,2021-04-30 18:42:51.754560,Q2,2021,Q2 2021
14,Intel Core i5-2450M,55,0,48.9,72.9,150,0,147,,2012-03-18 18:42:51.754560,Q1,2012,Q1 2012
15,Intel Core i5-7300HQ,55,0,56.5,68.8,271,0.25,87,,2017-02-20 18:42:51.754560,Q1,2017,Q1 2017
16,Intel Core i5-9300H,55,0,65,75.5,417,0.34,61,,2019-04-11 18:42:51.754560,Q2,2019,Q2 2019
17,Intel Xeon X5690,55,0,74.7,87.9,518,0.01,113,,2015-01-02 18:42:51.754560,Q1,2015,Q1 2015
18,Intel Core i5-12450H,55,0,88.9,67.5,898,0.43,24,,2022-04-25 18:42:51.754560,Q2,2022,Q2 2022
19,Intel Core i5-7200U,55,0,45.4,61.6,181,0.38,92,,2016-09-23 18:42:51.754560,Q3,2016,Q3 2016
20,Intel Core i7-10750H,55,0,76.8,82.2,614,0.83,49,,2020-04-05 18:42:51.754560,Q2,2020,Q2 2020
21,Intel Core i7-2700K,55,0,73,87.7,460,0.04,151,,2011-11-19 18:42:51.754560,Q4,2011,Q4 2011
22,AMD Phenom II X4 955,55,0,51.5,76,163,0.01,181,,2009-06-02 18:42:51.754560,Q2,2009,Q2 2009
23,Intel Core i7-950,55,0,65.9,86.7,350,0.05,181,,2009-06-02 18:42:51.754560,Q2,2009,Q2 2009
24,Intel Core i3-8350K,55,0,81.7,89,442,0.04,79,,2017-10-18 18:42:51.754560,Q4,2017,Q4 2017
25,Intel Core i9-9900KF,55,88.3,97.8,93.1,981,0.26,60,347,2019-05-11 18:42:51.754560,Q2,2019,Q2 2019
26,Intel Core i7-4770,55,76.3,70.5,81.7,478,0.4,133,179,2013-05-12 18:42:51.754560,Q2,2013,Q2 2013
27,Intel Core i5-6400,55,62.2,60.8,75.2,286,0.36,103,220,2015-10-29 18:42:51.754560,Q4,2015,Q4 2015
28,Intel Core i7-4820K,55,0,71.8,84.7,477,0.03,127,,2013-11-08 18:42:51.754560,Q4,2013,Q4 2013
29,Intel Core i5-7600,55,0,72,82.4,374,0.08,87,,2017-02-20 18:42:51.754560,Q1,2017,Q1 2017
30,Intel Core i3-7100,55,67.6,57,73.3,249,0.14,87,129,2017-02-20 18:42:51.754560,Q1,2017,Q1 2017
31,Intel Core i9-7900X,55,68.2,81.9,76.1,898,0.04,81,465,2017-08-19 18:42:51.754560,Q3,2017,Q3 2017
32,Intel Pentium Gold G5400,55,0,62.1,79.2,268,0.05,71,,2018-06-15 18:42:51.754560,Q2,2018,Q2 2018
33,Intel Core i7-8086K,55,0,90.8,91.6,800,0.08,70,,2018-07-15 18:42:51.754560,Q3,2018,Q3 2018
34,Intel Core i7-9700KF,55,97.2,97.1,90.9,968,0.2,62,239,2019-03-12 18:42:51.754560,Q1,2019,Q1 2019
35,Intel Core i7-9700,55,84.3,92,86.9,886,0.48,58,329,2019-07-10 18:42:51.754560,Q3,2019,Q3 2019
36,Intel Core i7-9700F,55,80.4,92,88.1,874,0.39,58,389,2019-07-10 18:42:51.754560,Q3,2019,Q3 2019
37,AMD Ryzen 7 3800XT,55,0,88.1,76.4,942,0.03,45,,2020-08-03 18:42:51.754560,Q3,2020,Q3 2020
38,AMD Ryzen 5 1600AF,55,0,72,76.3,594,0.08,67,,2018-10-13 18:42:51.754560,Q4,2018,Q4 2018
39,Intel Core i7-10700F,55,0,93.2,89.5,903,0.47,46,,2020-07-04 18:42:51.754560,Q3,2020,Q3 2020
40,Intel Core i7-10700KF,55,92.9,96.3,91.5,959,0.3,46,273,2020-07-04 18:42:51.754560,Q3,2020,Q3 2020
41,Intel Core i9-13900KS,55,93.2,131,86.2,1758,0.09,15,813,2023-01-20 18:42:51.754560,Q1,2023,Q1 2023
42,Intel Core i7-3632QM,54,0,60.7,78.2,341,0.02,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
43,Intel Core i7-4700HQ,54,0,61.9,75.8,379,0.04,133,,2013-05-12 18:42:51.754560,Q2,2013,Q2 2013
44,AMD Phenom II X6 1100T,54,0,58.6,81,281,0,160,,2011-02-22 18:42:51.754560,Q1,2011,Q1 2011
45,AMD Phenom II X6 1055T,54,0,54,78,231,0,168,,2010-06-27 18:42:51.754560,Q2,2010,Q2 2010
46,Intel Core i3-3240,54,0,55.1,77,201,0.04,123,,2014-03-08 18:42:51.754560,Q1,2014,Q1 2014
47,Intel Core i7-4710HQ,54,0,57.9,70,365,0.06,117,,2014-09-04 18:42:51.754560,Q3,2014,Q3 2014
48,Intel Core i7-7820HK,54,0,71.7,82.1,508,0.02,86,,2017-03-22 18:42:51.754560,Q1,2017,Q1 2017
49,Intel Core i3-8130U,54,0,47.6,63.7,189,0.07,72,,2018-05-16 18:42:51.754560,Q2,2018,Q2 2018
50,AMD Ryzen 7 4800HS,54,0,72,68.9,699,0.01,49,,2020-04-05 18:42:51.754560,Q2,2020,Q2 2020
1,AMD Ryzen TR 3990X,54,0,85.8,70.4,1075,0,50,,2020-03-06 18:42:51.754560,Q1,2020,Q1 2020
2,Intel Core i7-10875H,54,0,78.8,82.6,678,0.11,47,,2020-06-04 18:42:51.754560,Q2,2020,Q2 2020
3,Intel Core2 Duo E8600,54,0,43.7,72.3,92,0,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
4,Intel Core i7-1065G7,54,0,53.2,57,368,0.18,55,,2019-10-08 18:42:51.754560,Q4,2019,Q4 2019
5,Intel Core i3-8145U,54,0,52.8,67.2,225,0.03,65,,2018-12-12 18:42:51.754560,Q4,2018,Q4 2018
6,Intel Core i5-10500H,54,0,80.3,83.2,644,0.11,38,,2021-03-01 18:42:51.754560,Q1,2021,Q1 2021
7,AMD A10-5800K APU (2012 D.Tr),54,0,49.9,70.3,177,0.01,138,,2012-12-13 18:42:51.754560,Q4,2012,Q4 2012
8,Intel Core i7-11370H,54,0,74,66.6,630,0.15,38,,2021-03-01 18:42:51.754560,Q1,2021,Q1 2021
9,Intel Core i5-3330,54,0,61.3,79.8,261,0.07,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
10,AMD A10-6800K APU (2013 D.Ri),54,0,51.5,71,190,0,130,,2013-08-10 18:42:51.754560,Q3,2013,Q3 2013
11,Intel Core i5-8350U,54,0,51.6,58.9,335,0.14,76,,2018-01-16 18:42:51.754560,Q1,2018,Q1 2018
12,AMD Phenom II X6 1090T,54,0,57,79.6,265,0.01,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
13,Intel Pentium G4600,54,0,62.9,79.9,272,0.01,87,,2017-02-20 18:42:51.754560,Q1,2017,Q1 2017
14,AMD FX-8320E,54,0,57.8,80.6,298,0.02,115,,2014-11-03 18:42:51.754560,Q4,2014,Q4 2014
15,Intel Core i9-9980HK,54,0,81.8,82.6,745,0.03,59,,2019-06-10 18:42:51.754560,Q2,2019,Q2 2019
16,Intel Core i5-4210U,54,0,41.3,61.3,132,0.06,116,,2014-10-04 18:42:51.754560,Q4,2014,Q4 2014
17,Intel Core i9-11900H,54,0,89,69.7,954,0.08,35,,2021-05-30 18:42:51.754560,Q2,2021,Q2 2021
18,Intel Xeon X3440,54,0,65.2,87.5,329,0.01,120,,2014-06-06 18:42:51.754560,Q2,2014,Q2 2014
19,AMD Athlon II X4 860K,54,0,45.4,61.7,174,0,116,,2014-10-04 18:42:51.754560,Q4,2014,Q4 2014
20,Intel Core i7-7500U,54,0,48.1,64.6,192,0.12,91,,2016-10-23 18:42:51.754560,Q4,2016,Q4 2016
21,Intel Core i7-7600U,54,0,49.6,65.5,201,0.04,87,,2017-02-20 18:42:51.754560,Q1,2017,Q1 2017
22,Intel Core i7-12650H,54,0,96.2,71.2,1033,0.36,25,,2022-03-26 18:42:51.754560,Q1,2022,Q1 2022
23,Intel Core i3-10320,54,0,89.6,91.7,726,0,46,,2020-07-04 18:42:51.754560,Q3,2020,Q3 2020
24,Intel Core i7-8665U,54,0,59.6,66.8,390,0.09,61,,2019-04-11 18:42:51.754560,Q2,2019,Q2 2019
25,AMD Athlon II X4 750K,54,0,51.1,72.7,175,0,137,,2013-01-12 18:42:51.754560,Q1,2013,Q1 2013
26,Intel Core i3-1115G4,54,0,51,58,258,0.2,41,,2020-12-01 18:42:51.754560,Q4,2020,Q4 2020
27,Intel Core i5-7300U,54,0,45,59,188,0.09,87,,2017-02-20 18:42:51.754560,Q1,2017,Q1 2017
28,Intel Core i9-12900H,54,0,99,71.1,1118,0.2,26,,2022-02-24 18:42:51.754560,Q1,2022,Q1 2022
29,Intel Core2 Quad Q9650,54,0,50.7,72.1,175,0.02,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
30,Intel Core i7-920,54,0,61.6,84.9,298,0.06,187,,2008-12-04 18:42:51.754560,Q4,2008,Q4 2008
31,Intel Xeon W3690,54,0,76.9,90.2,536,0,118,,2014-08-05 18:42:51.754560,Q3,2014,Q3 2014
32,AMD FX-6100,54,0,53.5,76.8,215,0,150,,2011-12-19 18:42:51.754560,Q4,2011,Q4 2011
33,Intel Core i7-3610QM,54,0,62,78.8,358,0.03,145,,2012-05-17 18:42:51.754560,Q2,2012,Q2 2012
34,Intel Core i7-2630QM,54,0,55.2,76.1,264,0.01,159,,2011-03-24 18:42:51.754560,Q1,2011,Q1 2011
35,Intel Core i7 860,54,0,64.2,88.1,312,0.06,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
36,Intel Core i5-3210M,54,0,47.8,70.4,155,0.05,144,,2012-06-16 18:42:51.754560,Q2,2012,Q2 2012
37,Intel Core i5-3230M,54,0,48.7,70.6,164,0.06,135,,2013-03-13 18:42:51.754560,Q1,2013,Q1 2013
38,Intel Core2 Quad Q8400,54,0,44.6,64.1,150,0,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
39,Intel Core i5-750,54,0,61.5,85.6,228,0.03,177,,2009-09-30 18:42:51.754560,Q3,2009,Q3 2009
40,Intel Core2 Quad Q9400,54,0,46.1,67,150,0.01,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
41,Intel Core i5-3450,54,0,66.3,82.4,301,0.04,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
42,Intel Core2 Duo E8500,54,0,41.9,69.5,87.5,0.01,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
43,Intel Xeon E5450,54,0,50.5,71.1,178,0,121,,2014-05-07 18:42:51.754560,Q2,2014,Q2 2014
44,Intel Core i5-3550,54,54.5,68.6,82.5,326,0.04,124,554,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
45,Intel Xeon E5-1650 v2,54,0,76,84.8,584,0.03,119,,2014-07-06 18:42:51.754560,Q3,2014,Q3 2014
46,Intel Core i3-9100,54,86.3,79.7,85,436,0.07,58,179,2019-07-10 18:42:51.754560,Q3,2019,Q3 2019
47,AMD Ryzen 9 3900XT,54,69.5,88.7,76.3,1032,0.03,45,580,2020-08-03 18:42:51.754560,Q3,2020,Q3 2020
48,AMD Ryzen 5 7600,54,107,106,82.9,1082,0.16,15,232,2023-01-20 18:42:51.754560,Q1,2023,Q1 2023
49,Intel Core i3-4160,54,0,55.1,73,224,0.05,115,,2014-11-03 18:42:51.754560,Q4,2014,Q4 2014
50,Intel Core i5-4440,54,0,61.3,78.2,271,0.1,127,,2013-11-08 18:42:51.754560,Q4,2013,Q4 2013
1,AMD A10-7850K APU (2014 D.Ka),54,0,45.1,60.8,174,0,123,,2014-03-08 18:42:51.754560,Q1,2014,Q1 2014
2,Intel Core i5-4690,54,77.9,67.1,81.1,324,0.14,119,139,2014-07-06 18:42:51.754560,Q3,2014,Q3 2014
3,Intel Core i3-4130,54,0,52.3,70.8,207,0.07,127,,2013-11-08 18:42:51.754560,Q4,2013,Q4 2013
4,Intel Core i7-4771,54,0,73.5,84.2,512,0.02,130,,2013-08-10 18:42:51.754560,Q3,2013,Q3 2013
5,Intel Core i3-4170,54,93.2,56.9,75.2,233,0.08,107,40,2015-07-01 18:42:51.754560,Q2,2015,Q2 2015
6,AMD FX-4300,54,0,51.6,77.2,161,0.01,138,,2012-12-13 18:42:51.754560,Q4,2012,Q4 2012
7,Intel Pentium G3220,54,0,48.3,73.1,141,0.02,127,,2013-11-08 18:42:51.754560,Q4,2013,Q4 2013
8,Intel Core i7-4930K,54,0,76.9,85.4,594,0.04,127,,2013-11-08 18:42:51.754560,Q4,2013,Q4 2013
9,Intel Core i5-4670,54,70.9,66.5,80.2,322,0.05,124,189,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
10,AMD FX-8300,54,0,57.6,80.3,292,0.01,120,,2014-06-06 18:42:51.754560,Q2,2014,Q2 2014
11,Intel Core i5-7400,54,67.8,63.5,77.6,303,0.64,87,189,2017-02-20 18:42:51.754560,Q1,2017,Q1 2017
12,Intel Pentium G4620,54,0,66.7,83.6,294,0,87,,2017-02-20 18:42:51.754560,Q1,2017,Q1 2017
13,Intel Core i9-7960X,54,0,83.2,76.6,946,0,78,,2017-11-17 18:42:51.754560,Q4,2017,Q4 2017
14,Intel Core i5-8600,54,84.5,88.2,87.7,658,0.07,72,279,2018-05-16 18:42:51.754560,Q2,2018,Q2 2018
15,AMD Ryzen TR 2970WX,54,0,79,75.7,772,0,65,,2018-12-12 18:42:51.754560,Q4,2018,Q4 2018
16,Intel Core i9-9980XE,54,0,83,77.1,941,0.01,64,,2019-01-11 18:42:51.754560,Q1,2019,Q1 2019
17,Intel Core i5-9500,54,92.8,87,84.1,664,0.09,57,189,2019-08-09 18:42:51.754560,Q3,2019,Q3 2019
18,Intel Core i5-10500,54,93.6,84.2,81.8,757,0.09,47,163,2020-06-04 18:42:51.754560,Q2,2020,Q2 2020
19,AMD Athlon 3000G,54,0,52.9,66.6,236,0.01,52,,2020-01-06 18:42:51.754560,Q1,2020,Q1 2020
20,Intel Core i7-12700,54,0,108,77.2,1319,0.31,27,,2022-01-25 18:42:51.754560,Q1,2022,Q1 2022
21,Intel Core i9-12900KF,54,104,117,81.3,1509,0.19,29,368,2021-11-26 18:42:51.754560,Q4,2021,Q4 2021
22,Intel Core i7-3520M,53,0,53.2,74,196,0.01,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
23,Intel Core i7-2620M,53,0,52.2,75.6,173,0,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
24,Intel Core i7-4702MQ,53,0,61,76.8,364,0.03,123,,2014-03-08 18:42:51.754560,Q1,2014,Q1 2014
25,AMD A8-5500 APU,53,0,47.9,69.9,155,0,122,,2014-04-07 18:42:51.754560,Q2,2014,Q2 2014
26,Intel Core i7-4810MQ,53,0,61.7,72,407,0.04,120,,2014-06-06 18:42:51.754560,Q2,2014,Q2 2014
27,AMD A8-7600 APU (2014 D.Ka),53,0,41.9,57.3,158,0.01,115,,2014-11-03 18:42:51.754560,Q4,2014,Q4 2014
28,Intel Xeon X5470,53,0,54.5,74.4,203,0,115,,2014-11-03 18:42:51.754560,Q4,2014,Q4 2014
29,Intel Core i7-4720HQ,53,0,57.8,70.3,356,0.08,111,,2015-03-03 18:42:51.754560,Q1,2015,Q1 2015
30,AMD A8-7410 APU (2015 M.Ca),53,0,31.2,44.7,107,0.01,103,,2015-10-29 18:42:51.754560,Q4,2015,Q4 2015
31,Intel Core i7-6820HK,53,0,68.8,79.6,481,0.03,102,,2015-11-28 18:42:51.754560,Q4,2015,Q4 2015
32,AMD A12-9720P APU (2016 M.BR),53,0,35,47.3,136,0,81,,2017-08-19 18:42:51.754560,Q3,2017,Q3 2017
33,Intel Core i9-9880H,53,0,78.9,81.7,697,0.04,60,,2019-05-11 18:42:51.754560,Q2,2019,Q2 2019
34,Intel Core i5-9600,53,0,92.3,87.7,743,0.01,56,,2019-09-08 18:42:51.754560,Q3,2019,Q3 2019
35,AMD Ryzen 7 4800U,53,0,80.1,69.7,809,0,51,,2020-02-05 18:42:51.754560,Q1,2020,Q1 2020
36,Intel Core i9-10980HK,53,0,84.4,85.5,760,0.02,49,,2020-04-05 18:42:51.754560,Q2,2020,Q2 2020
37,AMD Ryzen 5 4600U,53,0,74.7,65.4,729,0,46,,2020-07-04 18:42:51.754560,Q3,2020,Q3 2020
38,Intel Core i7-7920HQ,53,0,71.4,78.5,515,0,85,,2017-04-21 18:42:51.754560,Q2,2017,Q2 2017
39,Intel Xeon E5-1620 0,53,0,69.7,83.2,443,0.04,123,,2014-03-08 18:42:51.754560,Q1,2014,Q1 2014
40,Intel Core i5-3320M,53,0,48,68.5,167,0.03,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
41,Intel Core i3-3120M,53,0,50.1,75.2,151,0.01,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
42,Intel Core i3-5005U,53,0,37.5,54.9,125,0.07,108,,2015-06-01 18:42:51.754560,Q2,2015,Q2 2015
43,Intel Core i7-10850H,53,0,79.5,81.2,659,0.04,46,,2020-07-04 18:42:51.754560,Q3,2020,Q3 2020
44,Intel Core i9-10900X,53,0,85.1,76.1,949,0.05,52,,2020-01-06 18:42:51.754560,Q1,2020,Q1 2020
45,Intel Core i5-3380M,53,0,55.4,75.5,209,0,121,,2014-05-07 18:42:51.754560,Q2,2014,Q2 2014
46,Intel Pentium Gold G6400,53,0,68.4,84.4,309,0.02,45,,2020-08-03 18:42:51.754560,Q3,2020,Q3 2020
47,Intel Core i7-8850H,53,0,70.7,76.3,523,0.1,71,,2018-06-15 18:42:51.754560,Q2,2018,Q2 2018
48,AMD Ryzen 9 4900H,53,0,74.3,69,713,0,46,,2020-07-04 18:42:51.754560,Q3,2020,Q3 2020
49,Intel Core i5-2410M,53,0,47.9,72.1,142,0.01,159,,2011-03-24 18:42:51.754560,Q1,2011,Q1 2011
50,Intel Core i9-8950HK,53,0,74.5,81.2,553,0.03,71,,2018-06-15 18:42:51.754560,Q2,2018,Q2 2018
1,Intel Core i3-10110U,53,0.0,46.9,59.6,205,0.07,54,,2019-11-07 18:42:51.754560,Q4,2019,Q4 2019
2,Intel Core i5-1035G4,53,0.0,55.5,58.2,397,0.02,54,,2019-11-07 18:42:51.754560,Q4,2019,Q4 2019
3,Intel Core i3-7020U,53,0.0,40.5,58,142,0.06,71,,2018-06-15 18:42:51.754560,Q2,2018,Q2 2018
4,Intel Core i7-5600U,53,0.0,49.6,66.8,192,0.04,110,,2015-04-02 18:42:51.754560,Q2,2015,Q2 2015
5,AMD FX-8120,53,0.0,56.4,78.4,288,0,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
6,Intel Xeon X5650,53,0.0,70.1,88.2,431,0,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
7,Intel Core i7-6500U,53,0.0,45.6,62.3,178,0.11,102,,2015-11-28 18:42:51.754560,Q4,2015,Q4 2015
8,Intel Core i7-6820HQ,53,0.0,60.1,71,400,0.11,99,,2016-02-26 18:42:51.754560,Q1,2016,Q1 2016
9,Intel Core i3-7100U,53,0.0,43.4,61.7,154,0.06,90,,2016-11-22 18:42:51.754560,Q4,2016,Q4 2016
10,AMD Ryzen 7 5800U,53,0.0,68,63.3,632,0.01,39,,2021-01-30 18:42:51.754560,Q1,2021,Q1 2021
11,Intel Core i7-10510U,53,0.0,56.4,66.2,348,0.16,55,,2019-10-08 18:42:51.754560,Q4,2019,Q4 2019
12,Intel Core i5-5200U,53,0.0,41.7,59.1,151,0.1,110,,2015-04-02 18:42:51.754560,Q2,2015,Q2 2015
13,Intel Xeon E3-1230 V2,53,0.0,70.5,86.3,436,0.03,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
14,AMD A8-5600K APU,53,0.0,49.1,70.4,167,0.01,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
15,Intel Core i5-8365U,53,0.0,57.3,65.1,369,0.11,59,,2019-06-10 18:42:51.754560,Q2,2019,Q2 2019
16,AMD Ryzen 7 7840HS,53,0.0,86.3,64.2,1022,0.07,10,,2023-06-19 18:42:51.754560,Q2,2023,Q2 2023
17,Intel Core2 Quad Q9500,53,0.0,47.9,68.6,161,0,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
18,AMD FX-8150,53,0.0,58.6,78.7,329,0,150,,2011-12-19 18:42:51.754560,Q4,2011,Q4 2011
19,Intel Xeon W3565,53,0.0,67,83.9,344,0.01,120,,2014-06-06 18:42:51.754560,Q2,2014,Q2 2014
20,AMD Ryzen 9 6900HS,53,0.0,75.8,69.1,763,0.02,25,,2022-03-26 18:42:51.754560,Q1,2022,Q1 2022
21,Intel Xeon X3470,53,0.0,68.7,89.4,364,0.01,109,,2015-05-02 18:42:51.754560,Q2,2015,Q2 2015
22,Intel Core i5-2300,53,0.0,64,83.8,264,0.02,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
23,AMD Ryzen 7 4700G,53,0.0,81.3,70.8,884,0.01,47,,2020-06-04 18:42:51.754560,Q2,2020,Q2 2020
24,Intel Core i7-10870H,53,0.0,79.1,82.3,696,0.12,42,,2020-11-01 18:42:51.754560,Q4,2020,Q4 2020
25,Intel Xeon X5460,53,0.0,51.6,72.2,184,0.01,121,,2014-05-07 18:42:51.754560,Q2,2014,Q2 2014
26,Intel Core i5-4210M,53,0.0,51.3,70.1,194,0.01,116,,2014-10-04 18:42:51.754560,Q4,2014,Q4 2014
27,Intel Core i5-6300U,53,0.0,40.4,53.5,169,0.19,107,,2015-07-01 18:42:51.754560,Q2,2015,Q2 2015
28,Intel Core i9-13900H,53,0.0,107,72.5,1226,0.34,14,,2023-02-19 18:42:51.754560,Q1,2023,Q1 2023
29,AMD Ryzen 5 4500,53,0.0,75.5,69.4,745,0.08,24,,2022-04-25 18:42:51.754560,Q2,2022,Q2 2022
30,Intel Core i5-2540M,53,0.0,51.5,74.5,172,0,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
31,AMD Ryzen 7 7735HS,53,0.0,79.1,68.7,838,0.05,15,,2023-01-20 18:42:51.754560,Q1,2023,Q1 2023
32,Intel Core i7-3720QM,53,0.0,64.8,78.2,399,0.01,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
33,Intel Core i7-13700H,53,0.0,104,69.9,1198,0.35,14,,2023-02-19 18:42:51.754560,Q1,2023,Q1 2023
34,Intel Core i5-13420H,53,0.0,97.9,68.3,994,0.14,12,,2023-04-20 18:42:51.754560,Q2,2023,Q2 2023
35,Intel Core i7-13620H,53,0.0,103,72.2,1131,0.24,13,,2023-03-21 18:42:51.754560,Q1,2023,Q1 2023
36,Intel Core i7-8650U,53,0.0,52.3,60.6,328,0.16,78,,2017-11-17 18:42:51.754560,Q4,2017,Q4 2017
37,Intel Core i9-13980HX,53,0.0,117,77.3,1507,0.21,14,,2023-02-19 18:42:51.754560,Q1,2023,Q1 2023
38,Intel Xeon E3-1240 V2,53,0.0,71.4,85.1,460,0.01,121,,2014-05-07 18:42:51.754560,Q2,2014,Q2 2014
39,AMD A8-6600K APU,53,0.0,49.8,70.1,177,0,122,,2014-04-07 18:42:51.754560,Q2,2014,Q2 2014
40,AMD Athlon II X4 640,53,0.0,44.8,62.5,161,0,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
41,Intel Core i7 930,53,0.0,64,85.9,323,0.01,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
42,Intel Core i5-2520M,53,0.0,47.6,69.5,155,0.01,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
43,Intel Core i7-3540M,53,0.0,56,77.3,206,0,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
44,Intel Core i5 650,53,0.0,46.3,63.5,174,0.02,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
45,Intel Core i5-2320,53,0.0,63.9,82.2,274,0.05,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
46,Intel Core i7 870,53,0.0,66.1,88.3,335,0.05,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
47,Intel Core i7 960,53,0.0,67.6,87.2,370,0.02,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
48,Intel Core2 Quad Q8200,53,0.0,43,63.6,134,0,122,,2014-04-07 18:42:51.754560,Q2,2014,Q2 2014
49,Intel Core i7-3770S,53,0.0,69.3,83.4,440,0.02,123,,2014-03-08 18:42:51.754560,Q1,2014,Q1 2014
50,Intel Core2 Quad Q8300,53,0.0,43.8,64,141,0,123,,2014-03-08 18:42:51.754560,Q1,2014,Q1 2014
1,AMD A10-7890K APU (2014 D.Ka),53,0,47,60.5,196,0,96,,2016-05-26 18:42:51.754560,Q2,2016,Q2 2016
2,Intel Core i5 760,53,0,63.6,86.1,248,0.04,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
3,Intel Core i9-9900X,53,0,83.7,75.9,944,0.02,64,,2019-01-11 18:42:51.754560,Q1,2019,Q1 2019
4,Intel Xeon E3-1220 v3,53,0,69.4,81.9,334,0.02,121,,2014-05-07 18:42:51.754560,Q2,2014,Q2 2014
5,Intel Core i7-3740QM,53,57.8,64.4,77.6,402,0.01,123,355,2014-03-08 18:42:51.754560,Q1,2014,Q1 2014
6,Intel Core i3-2120,53,73.2,50.7,73.2,174,0.04,123,63,2014-03-08 18:42:51.754560,Q1,2014,Q1 2014
7,Intel Core i7-4910MQ,53,0,67.3,77.6,448,0.01,118,,2014-08-05 18:42:51.754560,Q3,2014,Q3 2014
8,Intel Core i3-3220,53,0,52.1,74.2,184,0.07,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
9,Intel Core2 Duo E8400,53,0,40.3,67.9,78.1,0.02,195,,2008-04-08 18:42:51.754560,Q2,2008,Q2 2008
10,Intel Core i7-4770S,53,81.7,71.2,82.9,478,0.04,123,145,2014-03-08 18:42:51.754560,Q1,2014,Q1 2014
11,Intel Core i7-3960X,53,0,77.7,87.1,585,0,151,,2011-11-19 18:42:51.754560,Q4,2011,Q4 2011
12,Intel Core i3-4150,53,74.9,55.2,73.3,223,0.05,119,79,2014-07-06 18:42:51.754560,Q3,2014,Q3 2014
13,Intel Pentium G3240,53,0,50.2,75.2,151,0.02,120,,2014-06-06 18:42:51.754560,Q2,2014,Q2 2014
14,Intel Core i7-4710MQ,53,0,59.7,71.8,378,0.03,119,,2014-07-06 18:42:51.754560,Q3,2014,Q3 2014
15,Intel Xeon E3-1230 v3,53,0,72.8,85,495,0.01,123,,2014-03-08 18:42:51.754560,Q1,2014,Q1 2014
16,Intel Xeon E3-1231 v3,53,0,73.3,85.7,494,0.04,118,,2014-08-05 18:42:51.754560,Q3,2014,Q3 2014
17,AMD FX-9370,53,71,62.5,82.3,380,0,129,150,2013-09-09 18:42:51.754560,Q3,2013,Q3 2013
18,Intel Pentium G4500,53,82.3,56.3,78.7,201,0,102,60,2015-11-28 18:42:51.754560,Q4,2015,Q4 2015
